OBJECTID,Corridor_Segment,Corridor_Group,Alternative_Fuel_Corridor,Minimum_Sites,Chargers_Required,Required_Sites,Additional_Notes,Shape__Length
1,Anaheim to Newport Beach,17,SR-55,1,4,SR-55/SR-1 (Newport Beach),NA,28673.2105149818
2,Arcata to Redding,02,SR-299,4,16,"US-101/SR-299 (Arcata), SR-299/I-5 (Redding)",NA,220103.707403556
3,Barstow to Needles,07,I-40,1,8,Ludlow,NA,248922.384365701
4,Beaumont to Blythe,14,I-10,2,32,NA,NA,249063.786900129
5,Buttonwillow to Barstow,07,SR-58,4,16,"I-5/SR-58 (Buttonwillow), SR-58/I-15 (Barstow)",NA,255862.071690187
6,Oregon to North of Leggett,02,US-101,4,16,NA,NA,307193.140945236
7,Calpella/Redwood Valley to Yuba Pass,08,SR-20,4,20,SR-20/I-5 (Williams),NA,250204.435339256
8,Coalinga to Three Rivers,13,SR-198,2,8,NA,NA,142045.892951643
9,Cordelia to San Jose,12,I-680,1,4,I-80/I-680 (Cordelia),NA,113624.255057431
10,Crescent City to Gasquet,02,SR-199,1,4,NA,NA,58008.5900239116
11,East of Shandon to Famoso,13,SR-46,1,4,SR-46/SR-99 (Famoso),NA,102224.446754574
12,El Cajon to Eucalyptus Hills,15,SR-67,1,4,NA,NA,14166.3977316631
13,El Centro to Arizona,14,I-8,2,8,NA,NA,86812.0095118042
14,El Segundo to Norwalk,20,I-105,1,4,I-105/I-605 (Norwalk),NA,28387.5911307771
15,Fresno to Squaw Valley,13,SR-180,2,8,SR-180/SR-99 (Fresno),NA,87473.7207194999
16,Gardena to Riverside,17,SR-91,1,4,SR-91/I-110 (Gardena),NA,94432.3647124866
17,Hercules to Brentwood,11,SR-4,1,4,NA,NA,57792.6787178699
18,Hesperia to Nevada,07,I-15,2,38,NA,NA,267560.504355438
19,Nevada to Hesperia,05,US-395 South,5,20,"Lee Vining is a required site for SR-12 in Group 9, so it is not an eligible site for US-395",NA,569250.107838483
20,Holtville to Mexico,14,SR-7,1,4,NA,NA,10970.6912538587
21,Irwindale/Duarte to Seal Beach,20,I-605,1,4,I-605/I-210 (Irwindale/Duarte),NA,44125.6788480405
22,La Habra to Huntington Beach,17,SR-39,2,8,"SR-39/SR-1 (Huntington Beach), SR-39/SR-72 (La Habra)",NA,33455.0402158376
23,Paso Robles to Fish Camp,13,SR-41,3,12,SR-41/SR-46 Shandon,NA,316311.409143153
24,Leggett to North of San Francisco,03,SR-1,6,24,SR-1/US-101 (Leggett),NA,332709.857420368
25,Lompoc to Las Cruces,Ineligible for Funding,SR-1,0,0,NA,NA,28201.7171879692
26,Los Angeles to Beaumont,18,SR-60,1,4,SR-60/I-10 (Los Angeles),NA,121515.9628444
27,Los Angeles to Long Beach,20,I-710,2,8,"I-710/I-10 (Los Angeles), I-710/SR-1 (Long Beach)",NA,35804.8836104077
28,Los Angeles to San Pedro,20,I-110,2,8,"I-110/I-10 (Los Angeles), I-110/SR-47 (San Pedro)",NA,32924.5217234391
29,Manteca to Lee Vining,09,SR-120,5,20,SR-120/US-395 (Lee Vining),NA,260301.113566963
30,Mission Hills to Irvine,19,I-405,1,4,I-405/I-5 (Mission Hills),NA,116825.860825405
31,Moonpark to Thousand Oaks,18,SR-23,2,8,"SR-23/SR-118 (Moonpark), SR-23/US-101 (Thousand Oaks)",NA,14991.5894331819
32,Murrieta to Hesperia,Ineligible for Funding,I-15,0,0,NA,NA,104878.580949351
33,Murrieta to San Bernadino,19,I-215,2,8,"I-215/I-15 (Murrieta), I-215/I-15 (San Bernardino)",NA,71694.06922374
34,Oakland to San Jose,Ineligible for Funding,I-880,0,0,NA,NA,74028.3205532088
35,Oakland to Walnut Creek,11,SR-24,1,4,NA,NA,21728.5517149865
36,Oceanside to Escondido,15,SR-78,1,4,NA,NA,56290.4822858306
37,Oregon to Nevada,04,US-395 North,5,20,NA,NA,326044.391242753
38,Oxnard to Dana Point,17,SR-1,1,4,SR-1/I-5 (Dana Point),NA,189925.350340495
39,Oxnard to Los Angeles,Ineligible for Funding,US-101,0,0,NA,NA,103058.021547216
40,Pollock Pines to Nevada Border,08,US-50,1,6,NA,NA,78132.6896190327
41,Red Bluff to Sacramento,01,SR-99,2,8,Near Red Bluff,NA,192952.17669651
42,Sacramento to Nevada,08,I-80,1,16,NA,NA,200874.955488798
43,Sacramento to Pollock Pines,Ineligible for Funding,US-50,0,0,NA,NA,90619.6951127865
44,South of Sacramento to Kettleman City,06A,I-5,2,67,NA,NA,324091.90756639
45,San Diego to El Centro,16,I-8,2,8,NA,NA,205264.377762207
46,San Diego to Murrieta,16,I-15,2,8,"I-15/I-5 (San Diego), I-15/I-215 (Murrieta)",NA,91684.2542155757
47,San Diego to Otay Mesa,15,SR-905,2,8,"SR-905/I-5 (San Diego), SR-905/SR-125 (Otay Mesa)",NA,13982.476823278
48,San Diego to San Ysidro,16,I-805,1,4,I-805/I-5 (San Diego),NA,46359.2029643735
49,San Diego to Dulzara (Tecate),15,SR-94,2,8,SR-94/I-5 (San Diego),NA,59406.0764897703
50,San Francisco to Lompoc,10,SR-1,7,28,NA,NA,478927.006779866
51,San Jose to Santa Cruz,11,SR-17,1,4,SR-17/SR-1 (Santa Cruz),NA,42654.2210431047
52,San Rafeal to Tracy,12,I-580,2,10,I-580/US-101 (San Rafael),NA,95872.4324367575
53,Santa Clarita to Inyokern,05,SR-14,3,12,"SR-14/US-395 (Inyokern), SR-14/I-5 (Santa Clarita)",NA,189884.189953887
